annotation_id	converter	num_header_columns	num_data_columns
methylation__illuminadnamethylation_oma002_cpi__jhu_usc_edu__Level_NA__hybridization__data	skip	NA	NA
methylation__illuminadnamethylation_oma003_cpi__jhu_usc_edu__Level_1__within_bioassay_data_set_function__data	skip	1	3
methylation__illuminadnamethylation_oma003_cpi__jhu_usc_edu__Level_2__within_bioassay_data_set_function__data	magetab_data_matrix	1	1
methylation__illuminadnamethylation_oma003_cpi__jhu_usc_edu__Level_NA__hybridization__data	skip	NA	NA
mirna__h_mirna_8x15k__unc_edu__Level_1__feature_extraction__data	skip	NA	NA
mirna__h_mirna_8x15k__unc_edu__Level_2__unc_quantile_normalization__data	magetab_data_matrix	1	1
mirna__h_mirna_8x15k__unc_edu__Level_3__unc_DWD_Batch_adjusted__data	magetab_data_matrix	1	1
mirna__h_mirna_8x15kv2__unc_edu__Level_1__feature_extraction__data	skip	NA	NA
mirna__h_mirna_8x15kv2__unc_edu__Level_2__unc_quantile_normalization__data	magetab_data_matrix	1	1
mirna__h_mirna_8x15kv2__unc_edu__Level_3__unc_DWD_Batch_adjusted__data	magetab_data_matrix	1	1
snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	skip	NA	NA
snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	magetab_data_matrix	3	1
snp__genome_wide_snp_6__broad_mit_edu__Level_2__birdseed_genotype__birdseed	magetab_data_matrix	1	2
snp__genome_wide_snp_6__broad_mit_edu__Level_2__copy_number__data	magetab_data_matrix	3	1
snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	magetab_data_matrix	3	2
snp__genome_wide_snp_6__broad_mit_edu__Level_2__invariantset_medianpolish__data	magetab_data_matrix	1	1
snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	magetab_data_matrix	3	1
snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_cna__seg	skip	NA	NA
snp__human1mduo__hudsonalpha_org__Level_1__feature_extraction__data	skip	NA	NA
snp__human1mduo__hudsonalpha_org__Level_1__XandYintensity__data	magetab_data_matrix	3	2
snp__human1mduo__hudsonalpha_org__Level_2__B_allele_freq__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_2__Delta_B_allele_freq__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_2__genotyping__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_2__Normal_LogR__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_2__Paired_LogR__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_2__Unpaired_LogR__data	magetab_data_matrix	3	1
snp__human1mduo__hudsonalpha_org__Level_3__segmented_cna__seg	seg_hudsonalpha	NA	NA
snp__human1mduo__hudsonalpha_org__Level_3__segmented_cnv__seg	seg_hudsonalpha	NA	NA
snp__human1mduo__hudsonalpha_org__Level_3__segmented_loh__seg	seg_hudsonalpha	NA	NA
snp__humanhap550__hudsonalpha_org__Level_1__feature_extraction__data	skip	NA	NA
snp__humanhap550__hudsonalpha_org__Level_1__XandYintensity__data	magetab_data_matrix	3	2
snp__humanhap550__hudsonalpha_org__Level_2__B_allele_freq__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_2__Delta_B_allele_freq__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_2__genotyping__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_2__Normal_LogR__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_2__Paired_LogR__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_2__Unpaired_LogR__data	magetab_data_matrix	3	1
snp__humanhap550__hudsonalpha_org__Level_3__segmented_cna__seg	seg_hudsonalpha	NA	NA
snp__humanhap550__hudsonalpha_org__Level_3__segmented_cnv__seg	seg_hudsonalpha	NA	NA
snp__humanhap550__hudsonalpha_org__Level_3__segmented_loh__seg	seg_hudsonalpha	NA	NA
tracerel__illuminaga_dnaseq_automated__broad_mit_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__illuminaga_dnaseq__broad_mit_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__illuminaga_dnaseq_automated__broad_mit_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__illuminaga_dnaseq__broad_mit_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__illuminaga_dnaseq_automated__genome_wustl_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__illuminaga_dnaseq__genome_wustl_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__illuminaga_dnaseq_automated__genome_wustl_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__illuminaga_dnaseq__genome_wustl_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__solid_dna_automated__bcm_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__solid_dna__bcm_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__solid_dna_automated__bcm_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__solid_dna__bcm_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
transcriptome__agilentg4502a_07_1__unc_edu__Level_1__feature_extraction__data	skip	NA	NA
transcriptome__agilentg4502a_07_1__unc_edu__Level_2__unc_lowess_normalization_probe_level__data	magetab_data_matrix	1	1
transcriptome__agilentg4502a_07_1__unc_edu__Level_3__unc_lowess_normalization_gene_level__data	magetab_data_matrix	1	1
transcriptome__agilentg4502a_07_2__unc_edu__Level_1__feature_extraction__data	skip	NA	NA
transcriptome__agilentg4502a_07_2__unc_edu__Level_2__unc_lowess_normalization_probe_level__data	magetab_data_matrix	1	1
transcriptome__agilentg4502a_07_2__unc_edu__Level_3__unc_lowess_normalization_gene_level__data	magetab_data_matrix	1	1
transcriptome__agilentg4502a_07_3__unc_edu__Level_1__feature_extraction__data	skip	NA	NA
transcriptome__agilentg4502a_07_3__unc_edu__Level_2__unc_lowess_normalization_probe_level__data	magetab_data_matrix	1	1
transcriptome__agilentg4502a_07_3__unc_edu__Level_3__unc_lowess_normalization_gene_level__data	magetab_data_matrix	1	1
transcriptome__ht_hg_u133a__broad_mit_edu__Level_1__image_acquisition__CEL	skip	NA	NA
transcriptome__ht_hg_u133a__broad_mit_edu__Level_2__probeset_rma__data	magetab_data_matrix	1	1
transcriptome__ht_hg_u133a__broad_mit_edu__Level_3__gene_rma__data	magetab_data_matrix	1	1
clin__bio__genome_wustl_edu__Level_1__clinical__clin	clinical	NA	NA
mutations__illuminaga_dnaseq__broad_mit_edu__Level_2__Mutation_Calling__maf	skip	NA	NA
mutations__illuminaga_dnaseq__broad_mit_edu__Level_2__Coverage_Calculation__wig	skip	NA	NA
mutations__illuminaga_dnaseq__genome_wustl_edu__Level_2__Mutation_Calling__maf	skip	NA	NA
mutations__illuminaga_dnaseq__genome_wustl_edu__Level_2__Coverage_Calculation__wig	skip	NA	NA
transcriptome__hg_u133_plus_2__genome_wustl_edu__Level_1__image_acquisition__data	skip	NA	NA
mutations__solid_dnaseq__hgsc_bcm_edu__Level_2__Mutation_Calling__data	skip	NA	NA
mutations__solid_dnaseq__hgsc_bcm_edu__Level_2__Coverage_Calculation__data	skip	NA	NA
snp__genome_wide_snp_6__genome_wustl_edu__Level_1__image_acquisition__data	skip	NA	NA
transcriptome__hg_u133_plus_2__genome_wustl_edu__Level_2__MAS5_signal__data	skip_magetab_data_matrix	1	1
rnaseq__illuminaga_rnaseq__unc_edu__Level_3__splice_junction_expression__data	tsv2magetab	1	NA
rnaseq__illuminaga_rnaseq__unc_edu__Level_3__gene_expression__data	tsv2magetab	1	NA
rnaseq__illuminaga_rnaseq__unc_edu__Level_3__exon_expression__data	tsv2magetab	1	NA
rnaseq__illuminaga_rnaseq__unc_edu__Level_3__coverage__data	copy	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_NA__RNA_Sequencing__data	skip	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_3__exon_expression__data	tsv2magetab	1	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_3__gene_expression__data	tsv2magetab	1	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_3__splice_junction_expression__data	tsv2magetab	1	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_NA__DNA_Sequencing__data	skip	NA	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_3__isoform_expression__data	skip_obsolete	NA	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_3__mirna_expression__data	skip_obsolete	1	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	tsv2magetab	1	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	tsv2idtsv	NA	NA
methylation__humanmethylation450__jhu_usc_edu__Level_NA__hybridization__data	skip	NA	NA
methylation__humanmethylation450__jhu_usc_edu__Level_1__within_bioassay_data_set_function__data	skip_magetab_data_matrix	1	5
methylation__humanmethylation450__jhu_usc_edu__Level_2__within_bioassay_data_set_function__data	skip_magetab_data_matrix	1	2
rnaseq__illuminahiseq_rnaseq__unc_edu__Level_3__exon_expression__data	tsv2magetab	1	NA
rnaseq__illuminahiseq_rnaseq__unc_edu__Level_3__splice_junction_expression__data	tsv2magetab	1	NA
rnaseq__illuminahiseq_rnaseq__unc_edu__Level_3__gene_expression__data	tsv2magetab	1	NA
methylation__humanmethylation450__jhu_usc_edu__Level_1__image_acquisition__data	skip	NA	NA
mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	tsv2idtsv	NA	NA
mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	tsv2magetab	1	NA
clin__bio__nationwidechildrens_org__Level_1__auxiliary__clin	clinical	NA	NA
clin__bio__intgen_org__Level_1__auxiliary__clin	clinical	NA	NA
clin__bio__genome_wustl_edu__Level_1__auxiliary__clin	clinical	NA	NA
methylation__humanmethylation450__jhu_usc_edu__Level_1__feature_extraction__data	skip	NA	NA
methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	magetab_data_matrix	1	4
snp__genome_wide_snp_6__genome_wustl_edu__Level_2__intensities__data	skip_obsolete	3	1
snp__genome_wide_snp_6__genome_wustl_edu__Level_2__genotype_genotype__data	skip_obsolete	3	1
snp__genome_wide_snp_6__genome_wustl_edu__Level_2__paired_copy_number__data	skip_obsolete	3	1
snp__genome_wide_snp_6__genome_wustl_edu__Level_2__copynumber_byallele__data	skip_obsolete	3	2
snp__genome_wide_snp_6__genome_wustl_edu__Level_3__segmented__seg	skip_obsolete	NA	NA
miRNASeq__IlluminaGA__bcgsc_ca__Level_NA__DNA_Sequencing__data	skip_NEW	NA	NA
fragment_analysis__microsat_i__nationwidechildrens_org__Level_1__fragment_analysis__data	skip_NEW	NA	NA
fragment_analysis__microsat_i__nationwidechildrens_org__Level_1__fsa2txt__data	skip_NEW	NA	NA
methylation__humanmethylation27__jhu_usc_edu__Level_1__feature_extraction__data	skip	NA	NA
snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	seg_broad	NA	NA
snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	seg_broad	NA	NA
snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	seg_broad	NA	NA
snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	seg_broad	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_0__slide_print__data	skip	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_0__antibody_probe__data	skip	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_1__slide_scan__data	skip	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_1__image_quantification__data	skip	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_2__supercurve__data	skip	NA	NA
protein_exp__mda_rppa_core__mdanderson_org__Level_3__protein_normalization__data	magetab_data_matrix	1	1
snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	magetab_data_matrix	1	1
snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	magetab_data_matrix	1	2
snp__genome_wide_snp_6__broad_mit_edu__Level_2__tangent_copynumber__data	magetab_data_matrix	1	1
mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_1__alignment__bam	skip	NA	NA
rnaseq__illuminahiseq_rnaseq__unc_edu__Level_1__consensus_mRNA__bam	skip	NA	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_1__consensus_mRNA__bam	skip	NA	NA
rnaseq__illuminaga_rnaseq__unc_edu__Level_1__consensus_mRNA__bam	skip	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_1__consensus_mRNA__bam	skip	NA	NA
RNASeq__IlluminaGA__bcgsc_ca__Level_NA__RNA_Sequencing__data	skip_NEW	NA	NA
RNASeq__IlluminaGA__bcgsc_ca__Level_3__consensus_mRNA__bam	skip	NA	NA
RNASeq__IlluminaGA__bcgsc_ca__Level_3__gene_expression__data	skip_NEW	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_3__consensus_mRNA__bam	skip	NA	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_1__consensus_mRNA__bam	skip	NA	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_isoforms__data	tsv2magetab	1	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_isoforms_normalized__data	tsv2magetab	1	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_genes__data	tsv2magetab	1	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__junction_quantification__data	tsv2magetab	1	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_genes_normalized__data	tsv2magetab	1	NA
rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__exon_quantification__data	tsv2magetab	1	NA
miRNASeq__IlluminaGA__bcgsc_ca__Level_1__consensus_mRNA__bam	skip	NA	NA
cna__illuminahiseq_dnaseqc__hms_harvard_edu__Level_3__segmentation__seg	seg_harvardlowpass	NA	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_1__consensus_mRNA__bam	skip	NA	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_3__splice_junction_expression__data	tsv2magetab	1	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_3__exon_expression__data	tsv2magetab	1	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_3__gene_expression__data	tsv2magetab	1	NA
cna__illuminahiseq_dnaseqc__hms_harvard_edu__Level_3__variant_calling__data	skip_NEW	NA	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_2__indel__data	copy	NA	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_2__snv__data	copy	NA	NA
cnv__genotypes__OV__Level_3__segmentation_data_computation__data	skip_NEW_magetab_data_matrix	1	1
transcriptome__illuminaga_mrna_dge__hms_harvard_edu__Level_1__qc__data	skip_NEW	NA	NA
transcriptome__illuminaga_mrna_dge__hms_harvard_edu__Level_2__frequency_distribution__data	skip_NEW	NA	NA
transcriptome__illuminaga_mrna_dge__hms_harvard_edu__Level_3__tag_mapping__data	skip_NEW	NA	NA
transcriptome__illuminaga_mrna_dge__hms_harvard_edu__Level_3__gene_expression__data	skip_NEW	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_2__structural_variant__data	skip_NEW	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_2__snv__data	skip_NEW	NA	NA
transcriptome__hg_u133_plus_2__genome_wustl_edu__Level_3__per_gene_value__data	skip_NEW_magetab_data_matrix	1	1
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_1__consensus_mRNA__bam	skip	NA	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__RSEM_isoforms__data	tsv2magetab	1	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__RSEM_isoforms_normalized__data	tsv2magetab	1	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__RSEM_genes__data	tsv2magetab	1	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__RSEM_genes_normalized__data	tsv2magetab	1	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__exon_quantification__data	tsv2magetab	1	NA
rnaseqv2__illuminaga_rnaseqv2__unc_edu__Level_3__junction_quantification__data	tsv2magetab	1	NA
tracerel__illuminaga_dnaseq_automated__bcm_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__illuminaga_dnaseq__bcm_edu__Level_2__Mutation_Calling__maf	maf	NA	NA
tracerel__illuminaga_dnaseq_automated__bcm_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
tracerel__illuminaga_dnaseq__bcm_edu__Level_2__Coverage_Calculation__wig	copy	NA	NA
mirnaseq__illuminaga_mirnaseq__bcgsc_ca__Level_1__alignment__bam	skip_NEW_bam	NA	NA
rnaseq__illuminaga_rnaseq__bcgsc_ca__Level_2__indel__data	skip_NEW	NA	NA
cna__illuminahiseq_dnaseqc__hms_harvard_edu__Level_2__variant_calling__data	skip_NEW	NA	NA
rnaseq__illuminahiseq_rnaseq__bcgsc_ca__Level_2__structural_variant__data	skip_NEW	NA	NA
totalrnaseqv2__illuminahiseq_totalrnaseqv2__unc_edu__Level_1__consensus_RNA__bam	skip_NEW_bam	NA	NA
totalrnaseqv2__illuminahiseq_totalrnaseqv2__unc_edu__Level_1__consensus_RNA__bam	skip_NEW_bam	NA	NA
